"","Total.All.Revenue","Total.Donations","Total.Ticket.Revenue","X2004.Total.Cost","X2005.Total.Cost","X2006.Total.Cost","X2007.Total.Cost","X2008.Total.Cost","X2009.Total.Cost","X2010.Total.Cost","X2011.Total.Cost","X2012.Total.Cost","X2013.Total.Cost","X2014.Total.Cost","X2015.Total.Cost","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.Donation","X2013.Donation","X2014.Donation","X2015.Donation","KmeansClustering_3.cluster"
"94",2326,0,2326,0,189,288,209,171,0,230,224,141,390,242,242,0,0,0,0,0,0,0,0,0,0,0,0,1
"95",343.78,0,343.78,0,0,343.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"96",435,0,435,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"97",1440,0,1440,684,342,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"98",9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"99",220,0,220,0,9,111,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"100",30,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"101",3691.06,0,3691.06,140.4,59,195.33,404.33,335,494,350,315,144,490,424,340,0,0,0,0,0,0,0,0,0,0,0,0,1
"102",5714,2550,3164,240,478,280,288,316,189,170,258,295,215,188,247,100,100,150,200,250,250,250,250,250,250,250,250,2
"103",580,75,505,52,63,0,22,0,154,36,0,74,0,0,104,0,0,0,0,0,0,0,0,25,25,0,25,3
"104",428,0,428,0,0,0,24,0,0,0,300,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"105",1762,950,812,18,35,0,72,0,0,0,342,345,0,0,0,0,50,75,75,75,75,100,100,100,100,100,100,1
"106",407.5,50,357.5,0,18,10,0,43,0,0,0,36,110,37.5,103,0,0,0,0,0,0,0,0,0,0,0,50,3
"107",1317,0,1317,0,32,0,50,0,700,0,81,0,134,100,220,0,0,0,0,0,0,0,0,0,0,0,0,1
"108",3360,70,3290,216,256,222,288,316,98,264,320,261,243,366,440,0,0,0,0,0,0,0,0,0,20,20,30,1
"110",70,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"111",1648,1550,98,0,0,23,0,0,0,50,25,0,0,0,0,250,250,500,0,0,0,0,0,250,300,0,0,2
"113",117,25,92,0,0,0,0,0,0,0,0,0,32,60,0,0,0,0,0,0,0,0,0,0,0,25,0,3
"114",100,0,100,0,70,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"115",70,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"116",235.11,0,235.11,54.67,0,0,180.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"117",298,0,298,0,0,0,144,0,0,100,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"118",39,0,39,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"119",162,0,162,0,0,0,0,0,0,0,0,40,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,3
"121",651.67,0,651.67,23,32,73.67,88,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"124",542,0,542,128,0,0,0,0,0,0,0,0,220,0,194,0,0,0,0,0,0,0,0,0,0,0,0,3
"125",752,100,652,326,0,80,0,0,30,0,0,0,108,60,48,0,0,0,0,0,0,0,0,0,0,0,100,3
"126",9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
