"","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.Donation","X2013.Donation","X2014.Donation","KmeansClustering.cluster"
"457",15,15,15,15,20,0,20,25,25,0,0,3
"458",0,0,0,100,100,25,150,0,500,0,0,3
"459",0,10,20,0,0,0,0,0,0,0,0,3
"460",0,0,15,15,0,0,0,0,0,0,0,3
"461",0,0,0,15,20,0,25,0,0,0,30,3
"462",0,0,100,0,100,0,0,0,0,0,0,3
"463",0,0,15,0,0,0,0,0,0,0,0,3
"464",156,0,0,0,0,0,0,0,0,0,0,3
"465",100,100,50,100,50,100,125,50,50,30,50,3
"466",30,70,0,15,10,25,0,0,0,0,0,3
"467",0,0,0,12,0,0,0,0,0,0,0,3
"468",0,0,5,0,0,0,0,0,0,0,0,3
"469",0,0,0,52,0,0,0,0,0,0,0,3
"471",0,10,0,0,0,0,0,0,0,0,0,3
"472",0,0,0,0,20,25,0,20,0,0,0,3
"473",0,50,50,0,0,0,0,100,100,100,100,3
"474",0,25,0,25,0,0,0,0,0,0,0,3
"475",50,0,0,0,0,2,0,0,0,0,0,3
"476",0,0,0,0,150,150,0,0,0,0,0,3
"477",50,50,50,0,0,0,0,0,0,0,0,3
"478",0,0,0,6,0,0,0,0,0,0,0,3
"479",0,0,0,0,100,0,0,0,0,0,0,3
"480",100,200,0,0,0,0,0,0,0,0,0,3
"481",10,0,0,0,0,0,0,0,0,0,0,3
"482",0,50,50,50,0,50,100,0,100,0,100,3
"483",0,0,0,50,0,0,0,0,0,0,0,3
"484",0,0,50,50,100,0,50,50,75,25,0,3
"487",10,25,0,15,55,25,25,0,25,30,0,3
"488",25,0,50,50,50,50,50,0,75,25,50,3
"489",0,0,0,50,0,0,0,0,0,0,0,3
"490",50,50,90,50,0,0,0,0,0,0,0,3
"491",50,50,50,50,50,50,50,50,0,50,50,3
"493",0,200,0,0,0,0,0,0,0,0,0,3
"494",100,100,100,100,0,0,100,100,0,0,0,3
"495",0,0,125,0,0,0,0,0,0,0,0,3
"496",0,0,0,15,20,0,0,0,75,30,0,3
"497",50,50,100,100,100,100,100,100,100,0,50,3
"498",100,0,100,100,100,100,0,100,100,0,0,3
"499",0,50,0,0,50,50,0,0,0,0,0,3
"500",500,500,500,500,0,0,0,0,0,0,0,2
"501",200,100,0,100,100,100,0,200,100,100,100,3
"502",0,25,50,100,50,50,50,50,0,0,0,3
"503",100,100,200,0,100,100,100,0,100,100,0,3
"504",0,0,0,15,20,0,0,0,25,0,0,3
"505",0,10,0,0,0,0,0,0,0,0,0,3
"506",0,0,0,15,0,0,0,0,0,0,0,3
"508",0,30,50,100,0,100,0,0,0,0,0,3
"510",50,50,50,75,75,100,350,0,0,0,0,3
"511",40,25,15,15,20,25,25,25,20,30,30,3
"512",0,100,75,80,86,25,25,0,0,0,0,3
"513",0,10,0,0,0,0,0,0,0,0,0,3
"514",50,0,0,0,0,0,0,0,0,0,0,3
"515",0,0,50,0,0,0,0,0,0,0,0,3
"516",0,0,0,100,100,100,100,100,0,0,0,3
"517",0,50,50,50,0,0,0,0,0,0,0,3
"518",0,0,6,0,0,0,0,0,0,0,0,3
"519",50,50,50,50,0,51,50,50,50,75,0,3
"520",16,16,0,0,0,0,0,0,0,0,0,3
"521",0,0,0,0,0,35,100,0,0,0,0,3
"522",0,0,0,50,0,0,0,0,0,0,0,3
"523",100,200,200,250,0,0,0,0,0,0,0,3
"524",0,0,0,150,0,0,0,0,0,0,0,3
"525",0,20,0,0,0,0,0,0,0,0,0,3
"526",100,100,100,100,100,100,100,100,100,100,100,3
"527",0,0,0,25,0,0,0,0,20,0,0,3
"528",100,0,0,0,0,0,0,0,0,0,0,3
"529",26,0,0,0,0,0,0,0,0,0,0,3
"530",0,250,0,0,0,0,0,0,0,0,0,3
"531",20,50,50,50,25,20,15,50,25,40,40,3
"532",250,100,265,300,20,0,0,0,0,0,0,3
"533",50,50,25,100,50,0,50,0,75,50,50,3
"535",0,400,0,0,0,0,0,0,0,0,0,3
"536",0,25,0,0,0,0,0,0,0,0,0,3
"537",100,0,0,0,0,0,0,0,0,0,0,3
"538",6,0,0,0,0,0,0,0,0,0,0,3
"539",35,0,15,0,0,20,0,0,0,0,0,3
"540",25,25,25,25,50,50,50,50,50,50,50,3
"541",25,50,25,25,25,25,25,25,25,25,25,3
"542",20,10,0,0,0,0,0,0,0,0,0,3
"543",50,0,0,0,0,0,0,0,0,0,0,3
"544",0,0,0,0,100,100,100,100,100,100,100,3
"545",100,100,100,108,125,125,125,125,125,150,0,3
"546",0,200,0,0,0,0,0,0,0,0,0,3
"547",0,0,0,100,100,50,0,0,0,0,0,3
"548",0,100,100,0,0,0,0,0,0,0,0,3
"550",100,100,100,100,106,0,0,0,0,0,0,3
"551",50,250,15,500,20,25,0,0,0,0,0,3
"552",0,0,50,50,75,0,0,0,0,0,0,3
"553",100,50,0,0,0,0,0,0,0,0,0,3
"554",0,0,15,10,20,0,25,0,0,0,0,3
"555",0,0,0,500,250,0,0,0,0,0,0,3
"556",25,0,0,0,0,0,0,0,0,0,0,3
"557",50,50,100,100,100,100,100,100,0,0,100,3
"558",0,200,0,0,0,0,0,0,0,0,0,3
"559",0,0,250,0,100,0,50,0,0,0,0,3
"560",0,0,15,156,150,100,79,75,85,75,100,3
"561",0,0,0,50,0,0,0,0,0,0,0,3
"562",50,50,15,0,0,25,25,25,50,50,100,3
"563",0,50,100,100,125,150,175,170,0,0,0,3
"565",0,50,0,0,0,0,0,0,0,0,0,3
"566",50,75,50,75,80,100,100,100,100,100,100,3
"567",0,50,0,0,0,0,0,0,0,0,0,3
"568",25,0,20,0,0,0,0,0,0,0,0,3
"569",80,100,100,100,120,125,0,0,200,0,0,3
"570",0,100,100,100,0,0,100,0,0,0,0,3
"571",500,0,0,0,0,0,0,0,0,0,0,3
"572",1000,1000,1000,0,0,0,0,0,0,0,0,2
"573",50,50,0,50,0,0,0,0,0,0,0,3
"574",0,0,0,200,0,0,0,0,0,0,0,3
"575",0,50,50,50,50,50,100,100,0,0,0,3
"576",250,0,0,0,0,0,0,0,0,0,0,3
"577",0,500,500,0,0,0,0,0,0,0,0,3
"578",50,50,50,50,0,0,0,0,0,0,0,3
