Patron #,Total All Revenue,Total Donations,Total Ticket Revenue,2004 Total Cost,2005 Total Cost,2006 Total Cost,2007 Total Cost,2008 Total Cost,2009 Total Cost,2010 Total Cost,2011 Total Cost,2012 Total Cost,2013 Total Cost,2014 Total Cost,2015 Total Cost,2004 Donation,2005 Donation,2006 Donation,2007 Donation,2008 Donation,2009 Donation,2010 Donation,2011 Donation,2012 Donation,2013 Donation,2014 Donation,2015 Donation
1326,766.57,0,766.57,117.66,108.91,105,100,110,59,107,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1339,1048,0,1048,0,168,0,570,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1343,37273,31665,5608,1600,2400,1290,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,5000,11665,15000
1354,3654,0,3654,0,0,504,0,0,550,0,550,550,550,450,500,0,0,0,0,0,0,0,0,0,0,0,0
1373,435,0,435,0,0,135,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1376,959,0,959,0,0,216,153,0,0,0,0,180,230,0,180,0,0,0,0,0,0,0,0,0,0,0,0
1383,8116,220,7896,0,1576,0,2250,2030,2040,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0
1384,1286,0,1286,600,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1394,3037.5,0,3037.5,1025,150,534.5,580,523,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1448,1826,0,1826,352,140,140,342,330,171,171,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1535,10036,6279,3757,0,0,0,38,0,272,290,261,222,370,1146,1158,100,150,100,0,0,0,0,0,0,3000,2800,129
1539,3154,900,2254,171,54,148,224,164,92,188,258,338,193,166,258,0,50,50,100,100,0,100,100,150,100,150,0
1541,3940.5,1625,2315.5,200,226,227,168,256,98,0,145,348,176,250,221.5,50,250,100,100,125,150,150,150,200,0,150,200
1542,7217,230,6987,512,505,601,530,652,600,641,750,561,540,564,531,50,25,50,0,50,0,0,25,0,0,30,0
1543,12630.16,9350,3280.16,280,174,428.66,104,190,258,200,100,331,734,0,480.5,0,1000,0,1000,1000,1000,1000,1000,1000,1000,1350,0
1547,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0
1550,3169,1550,1619,66,126,117,77,175,0,88,84,200,272,60,354,50,50,0,100,0,100,250,350,200,250,100,100
1551,314,90,224,0,0,0,0,132,92,0,0,0,0,0,0,50,0,0,20,20,0,0,0,0,0,0,0
1552,2867,1250,1617,0,0,0,156,310,246,252,231,288,0,134,0,0,0,0,0,250,250,250,250,0,0,0,250
1555,1759,450,1309,475,344,490,0,0,0,0,0,0,0,0,0,0,200,250,0,0,0,0,0,0,0,0,0
1556,8205,4550,3655,76,64,215,396,164,284,90,411,422,830,299,404,0,0,0,250,0,500,250,300,250,250,2250,500
1557,336,250,86,0,0,0,0,0,0,0,0,0,0,86,0,0,50,0,0,50,0,50,0,50,0,50,0
